state,capital,lat,long
Andaman and Nicobar Islands,Port Blair,11.62338,92.72648
Andhra Pradesh,Amaravati,16.541,80.515
Arunachal Pradesh,Itanagar,27.08158,93.6027
Assam,Dispur,26.1433,91.7898
Bihar,Patna,25.5941,85.13756
Chandigarh,Chandigarh,30.73997,76.75674
Chhattisgarh,Raipur,21.16499,81.77531
Dadra and Nagar Haveli,Silvassa,20.27627,73.00831
Daman and Diu,Daman,20.39737,72.8328
Delhi,Delhi,28.61394,77.20902
Goa,Panaji,15.49093,73.82785
Gujarat,Gandhinagar,23.21564,72.63694
Haryana,Chandigarh,30.73997,76.75674
Himachal Pradesh,Shimla,31.10482,77.1734
Jammu and Kashmir,Srinagar,34.08141,74.80759
Jharkhand,Ranchi,23.34965,85.33452
Karnataka,Bengaluru,12.9716,77.59456
Kerala,Thiruvananthapuram,8.52414,76.93664
Ladakh,Leh,34.1526,77.5771
Lakshadweep,Kavaratti,10.55932,72.63581
Madhya Pradesh,Bhopal,23.25993,77.41262
Maharashtra,Mumbai,19.07598,72.87766
Manipur,Imphal,24.81701,93.93684
Meghalaya,Shillong,25.57876,91.89319
Mizoram,Aizawl,23.72711,92.71764
Nagaland,Kohima,25.6586,94.10533
Odisha,Bhubaneswar,20.29552,85.8248
Puducherry,Pondicherry,11.91386,79.81447
Punjab,Chandigarh,30.73997,76.75674
Rajasthan,Jaipur,26.91243,75.78727
Sikkim,Gangtok,27.33894,88.6065
Tamil Nadu,Chennai,13.08268,80.27072
Telangana,Hyderabad,17.38493,78.48662
Tripura,Agartala,23.83146,91.28678
Uttar Pradesh,Lucknow,26.84669,80.94617
Uttarakhand,Dehradun,30.31649,78.03219
West Bengal,Kolkata,22.57265,88.3639
